GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avaj-launcher,com.avajlauncher.model.aircraft,JetPlane,0,184,0,9,0,47,0,14,0,8
avaj-launcher,com.avajlauncher.model.aircraft,Aircraft,36,53,4,8,2,13,5,5,1,3
avaj-launcher,com.avajlauncher.model.aircraft,AircraftFactory,0,52,0,4,0,9,0,6,0,3
avaj-launcher,com.avajlauncher.model.aircraft,Baloon,0,184,0,9,0,47,0,14,0,8
avaj-launcher,com.avajlauncher.model.aircraft,Helicopter,0,184,0,9,0,47,0,14,0,8
avaj-launcher,com.avajlauncher.exceptions,ConfigExceptions,4,0,0,0,2,0,1,0,1,0
avaj-launcher,com.avajlauncher.exceptions,CoordinatesExceptions,4,0,0,0,2,0,1,0,1,0
avaj-launcher,com.avajlauncher.exceptions,IncorrectAircraftType,0,4,0,0,0,2,0,1,0,1
avaj-launcher,com.avajlauncher.model.weather,WeatherProvider,0,41,0,0,0,8,0,3,0,3
avaj-launcher,com.avajlauncher.controller,SimulationControllerFactory,18,156,1,9,7,56,1,11,0,7
avaj-launcher,com.avajlauncher.controller,SimulationController,14,9,2,0,4,4,2,1,1,1
avaj-launcher,com.avajlauncher,App,26,0,2,0,11,0,2,0,1,0
avaj-launcher,com.avajlauncher.model.configFileParser,ConfigParser,0,41,0,0,0,8,0,5,0,5
avaj-launcher,com.avajlauncher.model.configFileParser,ConfigError,0,96,3,21,0,17,3,18,0,9
avaj-launcher,com.avajlauncher.model.configFileParser,Config,0,63,0,4,0,9,0,5,0,3
avaj-launcher,com.avajlauncher.model.coordinates,Coordinates,4,58,4,10,0,16,4,8,0,5
avaj-launcher,com.avajlauncher.model.tower,Tower,40,66,10,6,10,14,9,5,2,4
avaj-launcher,com.avajlauncher.model.tower,WeatherTower,3,7,0,0,2,3,1,2,1,2
